size  mean_real  mean_user  mean_sys  stddev_real  stddev_user  stddev_sys
2  0  0  0  0  0  0
52  0  0  0  0  0  0
102  .013000  .011000  0  .004582  .003000  0
152  .043000  .040500  0  .004582  .002000  0
202  .108000  .105000  0  .006000  .006708  0
252  .198000  .194500  0  .010770  .012000  0
302  .332500  .331000  0  .010862  .010908  0
352  .586000  .582000  .000500  .053516  .051536  .002000
402  .836500  .831500  0  .018493  .018220  0
452  1.193000  1.186000  .000500  .012288  .013928  .002000
502  1.723000  1.714000  .001000  .068563  .067779  .003000
552  2.375000  2.358000  .007000  .158034  .148613  .011000
602  3.652000  3.640000  .005000  .540727  .537131  .005000
652  4.208000  4.189500  .010500  .277319  .270396  .008602
702  5.563000  5.548000  .009500  .221858  .220104  .003741
752  6.610000  6.587500  .015000  .372021  .367366  .012449
802  8.874000  8.861500  .010500  .139585  .141251  .003741
852  10.823500  10.756500  .039000  .778666  .769637  .023853
902  12.111000  12.078000  .020000  .609219  .602026  .008944
952  14.101500  14.055500  .030000  .309114  .307268  .017888
1002  18.269500  18.209500  .038500  .426947  .424469  .037973
