size  mean_real  mean_user  mean_sys  stddev_real  stddev_user  stddev_sys
2  0  0  0  0  0  0
52  0  0  0  0  0  0
102  .010000  .010000  0  0  0  0
152  .041000  .040000  0  .003000  0  0
202  .105000  .101500  0  .005000  .003464  0
252  .193500  .190000  0  .004690  .004472  0
302  .334500  .330500  0  .008000  .008000  0
352  .550000  .545000  0  .008366  .008062  0
402  .819500  .815000  .000500  .013564  .015329  .002000
452  1.198000  1.191500  0  .013266  .014899  0
502  1.943500  1.930000  .005000  .253972  .246008  .009746
552  2.568500  2.545500  .009000  .239043  .221864  .019467
602  3.237500  3.225500  .005000  .099438  .099669  .005000
652  4.372000  4.355500  .010500  .238277  .233375  .006633
702  5.705000  5.689000  .008000  .267011  .265761  .005099
752  6.260500  6.246000  .009000  .152852  .150811  .004358
802  8.928000  8.907000  .013500  .161944  .165984  .004690
852  10.320000  10.271500  .033500  .951498  .948816  .030364
902  13.204500  13.132500  .058500  .235550  .222346  .087761
952  13.224000  13.175000  .035000  .845525  .817535  .050049
1002  18.917500  18.812500  .080000  1.132964  1.097655  .211187
