size  mean_real  mean_user  mean_sys  stddev_real  stddev_user  stddev_sys
2  0  0  0  0  0  0
52  0  0  0  0  0  0
102  0  0  0  0  0  0
152  0  0  0  0  0  0
202  0  0  0  0  0  0
252  .002000  .000500  0  .004000  .002000  0
302  .003500  .001500  0  .004690  .003464  0
352  .010000  .007500  0  0  .004242  0
402  .010000  .010000  0  0  0  0
452  .020000  .013000  0  0  .004582  0
502  .022500  .020000  0  .004242  0  0
552  .032000  .028500  0  .004000  .003464  0
602  .044500  .038000  .000500  .004898  .004000  .002000
652  .050500  .044000  0  .002000  .004898  0
702  .060500  .057000  0  .002000  .005567  0
752  .092000  .084000  0  .004000  .005830  0
802  .100500  .093000  .000500  .011135  .012688  .002000
852  .116000  .109500  .001500  .025377  .020832  .003464
902  .120500  .114000  .002000  .002000  .004898  .004000
952  .174500  .163500  .005000  .013190  .012727  .005000
1002  .211500  .198500  .006500  .046604  .043954  .007211
